"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","HUR","MEN","PC_LF","A","2005",5.037436,
"NLD","HUR","MEN","PC_LF","A","2006",4.068785,
"NLD","HUR","MEN","PC_LF","A","2007",3.289138,
"NLD","HUR","MEN","PC_LF","A","2008",2.97724,
"NLD","HUR","MEN","PC_LF","A","2009",3.869509,
"NLD","HUR","MEN","PC_LF","A","2010",4.515946,
"NLD","HUR","MEN","PC_LF","A","2011",4.601452,
"NLD","HUR","MEN","PC_LF","A","2012",5.469067,
"NLD","HUR","MEN","PC_LF","A","2013",7.192367,
"NLD","HUR","MEN","PC_LF","A","2014",7.134919,
"NLD","HUR","MEN","PC_LF","A","2015",6.525611,
"NLD","HUR","MEN","PC_LF","A","2016",5.573468,
"NLD","HUR","MEN","PC_LF","A","2017",4.477647,
"NLD","HUR","MEN","PC_LF","A","2018",3.721625,
"IRL","HUR","MEN","PC_LF","A","2005",4.582891,
"IRL","HUR","MEN","PC_LF","A","2006",4.56117,"B"
"IRL","HUR","MEN","PC_LF","A","2007",5.019558,
"IRL","HUR","MEN","PC_LF","A","2008",7.602142,
"IRL","HUR","MEN","PC_LF","A","2009",15.08204,
"IRL","HUR","MEN","PC_LF","A","2010",17.06699,
"IRL","HUR","MEN","PC_LF","A","2011",17.69298,
"IRL","HUR","MEN","PC_LF","A","2012",17.67723,
"IRL","HUR","MEN","PC_LF","A","2013",14.83426,
"IRL","HUR","MEN","PC_LF","A","2014",12.67496,
"IRL","HUR","MEN","PC_LF","A","2015",10.73452,
"IRL","HUR","MEN","PC_LF","A","2016",9.023996,
"IRL","HUR","MEN","PC_LF","A","2017",7.067681,"B"
"IRL","HUR","MEN","PC_LF","A","2018",5.782411,
"POL","HUR","MEN","PC_LF","A","2005",16.59253,
"POL","HUR","MEN","PC_LF","A","2006",12.96,
"POL","HUR","MEN","PC_LF","A","2007",8.997234,
"POL","HUR","MEN","PC_LF","A","2008",6.432962,
"POL","HUR","MEN","PC_LF","A","2009",7.758518,"B"
"POL","HUR","MEN","PC_LF","A","2010",9.328139,
"POL","HUR","MEN","PC_LF","A","2011",9.012192,
"POL","HUR","MEN","PC_LF","A","2012",9.421591,
"POL","HUR","MEN","PC_LF","A","2013",9.688151,
"POL","HUR","MEN","PC_LF","A","2014",8.50192,
"POL","HUR","MEN","PC_LF","A","2015",7.333911,
"POL","HUR","MEN","PC_LF","A","2016",6.109614,
"POL","HUR","MEN","PC_LF","A","2017",4.871879,
"POL","HUR","MEN","PC_LF","A","2018",3.843871,
"KOR","HUR","MEN","PC_LF","A","2005",3.991667,
"KOR","HUR","MEN","PC_LF","A","2006",3.875,
"KOR","HUR","MEN","PC_LF","A","2007",3.675,
"KOR","HUR","MEN","PC_LF","A","2008",3.558333,
"KOR","HUR","MEN","PC_LF","A","2009",4.083333,
"KOR","HUR","MEN","PC_LF","A","2010",3.975,
"KOR","HUR","MEN","PC_LF","A","2011",3.608333,
"KOR","HUR","MEN","PC_LF","A","2012",3.383333,
"KOR","HUR","MEN","PC_LF","A","2013",3.275,
"KOR","HUR","MEN","PC_LF","A","2014",3.516667,
"KOR","HUR","MEN","PC_LF","A","2015",3.65,
"KOR","HUR","MEN","PC_LF","A","2016",3.75,
"KOR","HUR","MEN","PC_LF","A","2017",3.8,
"KOR","HUR","MEN","PC_LF","A","2018",3.941667,
"BEL","HUR","MEN","PC_LF","A","2005",7.596472,
"BEL","HUR","MEN","PC_LF","A","2006",7.398829,
"BEL","HUR","MEN","PC_LF","A","2007",6.660986,
"BEL","HUR","MEN","PC_LF","A","2008",6.464678,
"BEL","HUR","MEN","PC_LF","A","2009",7.743461,
"BEL","HUR","MEN","PC_LF","A","2010",8.107247,"B"
"BEL","HUR","MEN","PC_LF","A","2011",7.107418,
"BEL","HUR","MEN","PC_LF","A","2012",7.648603,
"BEL","HUR","MEN","PC_LF","A","2013",8.641434,
"BEL","HUR","MEN","PC_LF","A","2014",9.019543,
"BEL","HUR","MEN","PC_LF","A","2015",9.093283,
"BEL","HUR","MEN","PC_LF","A","2016",8.061985,"B"
"BEL","HUR","MEN","PC_LF","A","2017",7.11471,
"BEL","HUR","MEN","PC_LF","A","2018",6.283442,
"GBR","HUR","MEN","PC_LF","A","2005",5.137545,
"GBR","HUR","MEN","PC_LF","A","2006",5.6927,"B"
"GBR","HUR","MEN","PC_LF","A","2007",5.518339,"B"
"GBR","HUR","MEN","PC_LF","A","2008",6.061304,
"GBR","HUR","MEN","PC_LF","A","2009",8.494448,
"GBR","HUR","MEN","PC_LF","A","2010",8.572594,
"GBR","HUR","MEN","PC_LF","A","2011",8.638308,
"GBR","HUR","MEN","PC_LF","A","2012",8.316888,
"GBR","HUR","MEN","PC_LF","A","2013",7.948629,
"GBR","HUR","MEN","PC_LF","A","2014",6.363438,
"GBR","HUR","MEN","PC_LF","A","2015",5.455402,
"GBR","HUR","MEN","PC_LF","A","2016",4.923618,
"GBR","HUR","MEN","PC_LF","A","2017",4.431983,
"GBR","HUR","MEN","PC_LF","A","2018",4.045242,
"DNK","HUR","MEN","PC_LF","A","2005",4.434937,
"DNK","HUR","MEN","PC_LF","A","2006",3.334918,
"DNK","HUR","MEN","PC_LF","A","2007",3.44599,"B"
"DNK","HUR","MEN","PC_LF","A","2008",3.338479,
"DNK","HUR","MEN","PC_LF","A","2009",7.071188,
"DNK","HUR","MEN","PC_LF","A","2010",8.620202,
"DNK","HUR","MEN","PC_LF","A","2011",7.902107,
"DNK","HUR","MEN","PC_LF","A","2012",7.805448,
"DNK","HUR","MEN","PC_LF","A","2013",7.117464,
"DNK","HUR","MEN","PC_LF","A","2014",6.734088,
"DNK","HUR","MEN","PC_LF","A","2015",6.059143,"B"
"DNK","HUR","MEN","PC_LF","A","2016",5.642581,"B"
"DNK","HUR","MEN","PC_LF","A","2017",5.638452,
"DNK","HUR","MEN","PC_LF","A","2018",4.941623,
"CZE","HUR","MEN","PC_LF","A","2005",6.456149,
"CZE","HUR","MEN","PC_LF","A","2006",5.814707,
"CZE","HUR","MEN","PC_LF","A","2007",4.224425,
"CZE","HUR","MEN","PC_LF","A","2008",3.460107,
"CZE","HUR","MEN","PC_LF","A","2009",5.844887,
"CZE","HUR","MEN","PC_LF","A","2010",6.383867,"B"
"CZE","HUR","MEN","PC_LF","A","2011",5.798398,
"CZE","HUR","MEN","PC_LF","A","2012",6.023568,
"CZE","HUR","MEN","PC_LF","A","2013",5.90281,
"CZE","HUR","MEN","PC_LF","A","2014",5.099848,
"CZE","HUR","MEN","PC_LF","A","2015",4.233178,
"CZE","HUR","MEN","PC_LF","A","2016",3.379693,
"CZE","HUR","MEN","PC_LF","A","2017",2.338037,
"CZE","HUR","MEN","PC_LF","A","2018",1.791738,
"SVN","HUR","MEN","PC_LF","A","2005",6.054897,
"SVN","HUR","MEN","PC_LF","A","2006",4.892113,
"SVN","HUR","MEN","PC_LF","A","2007",3.970094,
"SVN","HUR","MEN","PC_LF","A","2008",3.994821,
"SVN","HUR","MEN","PC_LF","A","2009",5.898772,
"SVN","HUR","MEN","PC_LF","A","2010",7.414741,
"SVN","HUR","MEN","PC_LF","A","2011",8.161778,
"SVN","HUR","MEN","PC_LF","A","2012",8.387192,
"SVN","HUR","MEN","PC_LF","A","2013",9.422112,
"SVN","HUR","MEN","PC_LF","A","2014",8.922187,
"SVN","HUR","MEN","PC_LF","A","2015",8.055996,
"SVN","HUR","MEN","PC_LF","A","2016",7.491035,
"SVN","HUR","MEN","PC_LF","A","2017",5.779647,
"SVN","HUR","MEN","PC_LF","A","2018",4.605018,
"USA","HUR","MEN","PC_LF","A","2005",5.091667,
"USA","HUR","MEN","PC_LF","A","2006",4.616667,
"USA","HUR","MEN","PC_LF","A","2007",4.725,
"USA","HUR","MEN","PC_LF","A","2008",6.091667,
"USA","HUR","MEN","PC_LF","A","2009",10.29167,
"USA","HUR","MEN","PC_LF","A","2010",10.51667,
"USA","HUR","MEN","PC_LF","A","2011",9.375,
"USA","HUR","MEN","PC_LF","A","2012",8.225,
"USA","HUR","MEN","PC_LF","A","2013",7.625,
"USA","HUR","MEN","PC_LF","A","2014",6.258333,
"USA","HUR","MEN","PC_LF","A","2015",5.375,
"USA","HUR","MEN","PC_LF","A","2016",4.941667,
"USA","HUR","MEN","PC_LF","A","2017",4.4,
"USA","HUR","MEN","PC_LF","A","2018",3.95,
"ITA","HUR","MEN","PC_LF","A","2005",6.167791,
"ITA","HUR","MEN","PC_LF","A","2006",5.421643,
"ITA","HUR","MEN","PC_LF","A","2007",4.878938,
"ITA","HUR","MEN","PC_LF","A","2008",5.495847,
"ITA","HUR","MEN","PC_LF","A","2009",6.724587,
"ITA","HUR","MEN","PC_LF","A","2010",7.494904,
"ITA","HUR","MEN","PC_LF","A","2011",7.515498,
"ITA","HUR","MEN","PC_LF","A","2012",9.801465,
"ITA","HUR","MEN","PC_LF","A","2013",11.4761,
"ITA","HUR","MEN","PC_LF","A","2014",11.8602,
"ITA","HUR","MEN","PC_LF","A","2015",11.31651,
"ITA","HUR","MEN","PC_LF","A","2016",10.89056,
"ITA","HUR","MEN","PC_LF","A","2017",10.33921,
"ITA","HUR","MEN","PC_LF","A","2018",9.745541,
"AUS","HUR","MEN","PC_LF","A","2005",4.879681,
"AUS","HUR","MEN","PC_LF","A","2006",4.669972,
"AUS","HUR","MEN","PC_LF","A","2007",4.041836,
"AUS","HUR","MEN","PC_LF","A","2008",3.954261,
"AUS","HUR","MEN","PC_LF","A","2009",5.694293,
"AUS","HUR","MEN","PC_LF","A","2010",5.076458,
"AUS","HUR","MEN","PC_LF","A","2011",4.893791,
"AUS","HUR","MEN","PC_LF","A","2012",5.13732,
"AUS","HUR","MEN","PC_LF","A","2013",5.706582,
"AUS","HUR","MEN","PC_LF","A","2014",5.996284,
"AUS","HUR","MEN","PC_LF","A","2015",6.039518,
"AUS","HUR","MEN","PC_LF","A","2016",5.64994,
"AUS","HUR","MEN","PC_LF","A","2017",5.525619,
"AUS","HUR","MEN","PC_LF","A","2018",5.281892,
"ZAF","HUR","MEN","PC_LF","A","2005",19.7,
"ZAF","HUR","MEN","PC_LF","A","2006",17.8,
"ZAF","HUR","MEN","PC_LF","A","2007",18.2,"B"
"ZAF","HUR","MEN","PC_LF","A","2008",19.85,
"ZAF","HUR","MEN","PC_LF","A","2009",22.05,
"ZAF","HUR","MEN","PC_LF","A","2010",23,
"ZAF","HUR","MEN","PC_LF","A","2011",22.7,
"ZAF","HUR","MEN","PC_LF","A","2012",23,
"ZAF","HUR","MEN","PC_LF","A","2013",23.125,
"ZAF","HUR","MEN","PC_LF","A","2014",23.325,
"ZAF","HUR","MEN","PC_LF","A","2015",23.375,
"ZAF","HUR","MEN","PC_LF","A","2016",24.75,
"ZAF","HUR","MEN","PC_LF","A","2017",25.7,
"ZAF","HUR","MEN","PC_LF","A","2018",25.35,
"CHE","HUR","MEN","PC_LF","A","2010",4.47997,
"CHE","HUR","MEN","PC_LF","A","2011",4.071469,
"CHE","HUR","MEN","PC_LF","A","2012",4.274563,
"CHE","HUR","MEN","PC_LF","A","2013",4.601179,
"CHE","HUR","MEN","PC_LF","A","2014",4.690587,
"CHE","HUR","MEN","PC_LF","A","2015",4.703287,
"CHE","HUR","MEN","PC_LF","A","2016",4.841963,
"CHE","HUR","MEN","PC_LF","A","2017",4.571178,
"CHE","HUR","MEN","PC_LF","A","2018",4.368399,
"SVK","HUR","MEN","PC_LF","A","2005",15.46763,
"SVK","HUR","MEN","PC_LF","A","2006",12.27206,
"SVK","HUR","MEN","PC_LF","A","2007",9.906957,
"SVK","HUR","MEN","PC_LF","A","2008",8.365296,
"SVK","HUR","MEN","PC_LF","A","2009",11.38134,
"SVK","HUR","MEN","PC_LF","A","2010",14.20548,"B"
"SVK","HUR","MEN","PC_LF","A","2011",13.61061,
"SVK","HUR","MEN","PC_LF","A","2012",13.5183,
"SVK","HUR","MEN","PC_LF","A","2013",13.97494,
"SVK","HUR","MEN","PC_LF","A","2014",12.82725,
"SVK","HUR","MEN","PC_LF","A","2015",10.32473,
"SVK","HUR","MEN","PC_LF","A","2016",8.773276,
"SVK","HUR","MEN","PC_LF","A","2017",7.899541,
"SVK","HUR","MEN","PC_LF","A","2018",6.134281,
"NOR","HUR","MEN","PC_LF","A","2005",4.550795,"B"
"NOR","HUR","MEN","PC_LF","A","2006",3.449817,
"NOR","HUR","MEN","PC_LF","A","2007",2.558915,
"NOR","HUR","MEN","PC_LF","A","2008",2.716707,
"NOR","HUR","MEN","PC_LF","A","2009",3.551968,
"NOR","HUR","MEN","PC_LF","A","2010",4.039311,
"NOR","HUR","MEN","PC_LF","A","2011",3.419266,
"NOR","HUR","MEN","PC_LF","A","2012",3.559513,
"NOR","HUR","MEN","PC_LF","A","2013",3.59469,
"NOR","HUR","MEN","PC_LF","A","2014",3.706449,
"NOR","HUR","MEN","PC_LF","A","2015",4.559465,
"NOR","HUR","MEN","PC_LF","A","2016",5.358527,
"NOR","HUR","MEN","PC_LF","A","2017",4.581336,
"NOR","HUR","MEN","PC_LF","A","2018",4.031107,
"ISR","HUR","MEN","PC_LF","A","2005",8.522532,
"ISR","HUR","MEN","PC_LF","A","2006",7.894873,
"ISR","HUR","MEN","PC_LF","A","2007",6.774822,
"ISR","HUR","MEN","PC_LF","A","2008",5.746941,
"ISR","HUR","MEN","PC_LF","A","2009",7.549529,
"ISR","HUR","MEN","PC_LF","A","2010",6.764515,
"ISR","HUR","MEN","PC_LF","A","2011",5.589631,"B"
"ISR","HUR","MEN","PC_LF","A","2012",6.75,
"ISR","HUR","MEN","PC_LF","A","2013",6.191667,
"ISR","HUR","MEN","PC_LF","A","2014",5.858333,
"ISR","HUR","MEN","PC_LF","A","2015",5.116667,
"ISR","HUR","MEN","PC_LF","A","2016",4.658333,
"ISR","HUR","MEN","PC_LF","A","2017",4.125,
"ISR","HUR","MEN","PC_LF","A","2018",4.041667,
"EA19","HUR","MEN","PC_LF","A","2005",8.15591,
"EA19","HUR","MEN","PC_LF","A","2006",7.421526,
"EA19","HUR","MEN","PC_LF","A","2007",6.602596,
"EA19","HUR","MEN","PC_LF","A","2008",6.853228,
"EA19","HUR","MEN","PC_LF","A","2009",9.407518,
"EA19","HUR","MEN","PC_LF","A","2010",9.955,
"EA19","HUR","MEN","PC_LF","A","2011",9.925752,
"EA19","HUR","MEN","PC_LF","A","2012",11.17224,
"EA19","HUR","MEN","PC_LF","A","2013",11.83657,
"EA19","HUR","MEN","PC_LF","A","2014",11.45125,
"EA19","HUR","MEN","PC_LF","A","2015",10.67567,
"EA19","HUR","MEN","PC_LF","A","2016",9.700913,
"EA19","HUR","MEN","PC_LF","A","2017",8.703273,
"EA19","HUR","MEN","PC_LF","A","2018",7.830545,
"HUN","HUR","MEN","PC_LF","A","2005",6.985204,
"HUN","HUR","MEN","PC_LF","A","2006",7.143178,
"HUN","HUR","MEN","PC_LF","A","2007",7.132286,
"HUN","HUR","MEN","PC_LF","A","2008",7.660876,
"HUN","HUR","MEN","PC_LF","A","2009",10.27447,
"HUN","HUR","MEN","PC_LF","A","2010",11.61458,
"HUN","HUR","MEN","PC_LF","A","2011",11.0743,
"HUN","HUR","MEN","PC_LF","A","2012",11.34615,
"HUN","HUR","MEN","PC_LF","A","2013",10.22646,
"HUN","HUR","MEN","PC_LF","A","2014",7.568799,
"HUN","HUR","MEN","PC_LF","A","2015",6.628603,
"HUN","HUR","MEN","PC_LF","A","2016",5.1233,
"HUN","HUR","MEN","PC_LF","A","2017",3.811268,
"HUN","HUR","MEN","PC_LF","A","2018",3.476322,
"RUS","HUR","MEN","PC_LF","A","2005",7.310731,
"RUS","HUR","MEN","PC_LF","A","2006",7.496927,
"RUS","HUR","MEN","PC_LF","A","2007",6.437771,
"RUS","HUR","MEN","PC_LF","A","2008",6.57114,
"RUS","HUR","MEN","PC_LF","A","2009",9.027048,
"RUS","HUR","MEN","PC_LF","A","2010",7.969747,
"RUS","HUR","MEN","PC_LF","A","2011",6.932708,
"RUS","HUR","MEN","PC_LF","A","2012",5.810785,
"RUS","HUR","MEN","PC_LF","A","2013",5.789257,
"RUS","HUR","MEN","PC_LF","A","2014",5.482682,
"RUS","HUR","MEN","PC_LF","A","2015",5.822966,
"RUS","HUR","MEN","PC_LF","A","2016",5.747926,
"RUS","HUR","MEN","PC_LF","A","2017",5.357244,
"RUS","HUR","MEN","PC_LF","A","2018",4.893378,
"FRA","HUR","MEN","PC_LF","A","2005",7.808259,
"FRA","HUR","MEN","PC_LF","A","2006",7.859801,
"FRA","HUR","MEN","PC_LF","A","2007",7.272971,
"FRA","HUR","MEN","PC_LF","A","2008",6.722411,
"FRA","HUR","MEN","PC_LF","A","2009",8.675886,
"FRA","HUR","MEN","PC_LF","A","2010",8.694904,
"FRA","HUR","MEN","PC_LF","A","2011",8.533685,
"FRA","HUR","MEN","PC_LF","A","2012",9.43752,
"FRA","HUR","MEN","PC_LF","A","2013",10.04169,"B"
"FRA","HUR","MEN","PC_LF","A","2014",10.53438,
"FRA","HUR","MEN","PC_LF","A","2015",10.77,
"FRA","HUR","MEN","PC_LF","A","2016",10.22373,
"FRA","HUR","MEN","PC_LF","A","2017",9.442865,
"FRA","HUR","MEN","PC_LF","A","2018",8.987396,
"COL","HUR","MEN","PC_LF","A","2007",8.748333,
"COL","HUR","MEN","PC_LF","A","2008",8.875,
"COL","HUR","MEN","PC_LF","A","2009",9.374166,
"COL","HUR","MEN","PC_LF","A","2010",9.0075,
"COL","HUR","MEN","PC_LF","A","2011",8.23,
"COL","HUR","MEN","PC_LF","A","2012",7.898334,
"COL","HUR","MEN","PC_LF","A","2013",7.4175,
